questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"পেপসিনোজেন ক্ষরণকারী কোষ কোনটি?","প্যারাইটাল কোষ","মিউকাস কোষ","আর্জেন্টাফিন কোষ","চীফ কোষ",,4,"পেপসিনোজেন বা এনজাইম ক্ষরণকারী পাকস্থলীর গ্রন্থির নাম হলো- জাইমোজেনিক কোষ। গ্রন্থিকোষগুলোর মধ্যে এটিই একমাত্র এনজাইম ক্ষরণকারী কোষ। একইসাথে এনজাইম ক্ষরণই প্রধান বিষয়- এজন্য এই কোষকে চীফ কোষও বলা হয়।",1,1
"কোনটি দ্বিস্তরী?","Chlorohydra viridissima","Labeo rohita",Rhizobium,Zoochlorella,,1,,1,1
"সার্বজনীন দাতা-",O+,O-,AB+,O,,2,"০- রক্তে কোনো অ্যান্টিজেন নেই। ফলে এটি যেকোনো রক্তের গ্রুপের মানুষকে দেওয়া সম্ভব। এজন্যই একে সর্বজনীন দাতা বলে।",1,1
"কোনটি গোলাকার ভাইরাস?",TMV,T₂,"Ebola Virus","পোলিও ভাইরাস",,4,,1,1
"আদিকোষে নিউক্লিক এসিডের সংশ্লেষণ কোথায় সম্পন্ন হয়?",সাইটোপ্লাজম,মাইটোকন্ড্রিয়া,রাইবোজোম,প্রোটোপ্লাজম,,1,"সইটোপ্লাজমে সংঘটিত বিপাক ক্রিয়া-<br />
<br />
১. শ্বসন<br />
<br />
২. জীবনের স্পন্দন<br />
<br />
৩. সালোকসংশ্লেষণ<br />
<br />
৪. প্রোটিন সংশ্লেষণ<br />
<br />
৫. নিউক্লিক এসিড সংশ্লেষণ<br />
<br />
৬. লিপিড বিপাক",1,1
"অপত্য ক্রোমোসোম নিকটস্থ মেরুর দিকে ধাবিত হয় কোন পর্যায়ে?",টেলোফেজ,অ্যানাফেজ,মেটাফেজ,প্রোফেজ,,2,,1,1
"প্রতি মেরুতে ক্রোমোসোমের সংখ্যা n হয় কোন উপদশায়?",মেটাফেজ-১,টেলোফেজ-১,অ্যানাফেজ-১,অ্যানাফেজ-২,,3,,1,1
"একবীজপত্রী উদ্ভিদের কাণ্ডের হাইপোডার্মিস কোন ধরণের কোষ দ্বারা তৈরি?",প্যারেনকাইমা,স্ক্লেরেনকাইমা,কোলেনকাইমা,সবগুলো,,2,,1,1
"ধানের পরাগধানী কিরূপ?",পৃষ্ঠলগ্ন,দললগ্ন,বৃক্কাকার,সর্বমুখ,,4,,1,1
"P-680 তে ইলেকট্রনের উৎস কে?",ফোটন,পানি,P700,BP680,,2,,1,1
"বহু নিউক্লিয়াসযুক্ত প্রাণিকোষকে কী বলে?",প্লাজমোডিয়াম,প্লাজমালেমা,সিনোসাইটিক,সিন্যাপসিস,,1,"<br />
**বহু নিউক্লিয়াসযুক্ত উদ্ভিদকোষ—সিনোসাইটিক<br />
 **বহু নিউক্লিয়াসযুক্ত প্রাণিকোষ—প্লাজমেডিয়াম",1,1
"স্ট্রোবিলাস গঠন করে কোনটি?",স্ত্রীরেণু,পুংরেণু,পুংরেণুপত্র,স্ত্রীরেণুপত্র,,3,"পুংরেণুকে (শুক্রাণু) মাইক্রোস্পোর বলা হয়। মাইক্রোস্পরগুলো যে ধারকের (পাত্র) উপরে থাকে, সেই ধারককে পুংরেণুপত্র (Microsporophyll) বলে। পুংরেণুপত্রগুলো একত্রিত হয়ে স্ট্রোবিলাস (কোণ) গঠন করে।<br />
<br />
* স্ট্রোবিলাস হলো লাটিমের মতো দেখতে (কোণ আকৃতি) একটি অঙ্গ। অনেকগুলো মাইক্রোস্পরোফিল (Microsporophyll) মিলিত হয়ে স্ট্রোবিলাস গঠন করে।<br />
<br />
***পুরুষরা বিলাসী (পুরুষ: পুরেণুপত্র দ্বারা, বিলাসী: স্ট্রোবিলাস গঠিত হয়)।",1,1
"অ্যান্টিবায়োটিক ক্ষমতাসম্পন্ন জিন থাকে কোন প্লাজমিডে?",R,F,কোল,F',,1,,1,1
"হ্যাড্রোসেন্ট্রিক ভাস্কুলার বান্ডল কোথায় পাওয়া যায়?","দ্বিবীজপত্রী উদ্ভিদের মূলে","ফার্ণ বর্গীয় উদ্ভিদে","দ্বিবীজপত্রী উদ্ভিদের কাণ্ডে","একবীজপত্রী উদ্ভিদের কাণ্ডে",,2,,1,1
"ঈস্টের ক্রোমোসোম সংখ্যা-",1,12,16,46,,3,,1,1
"কোন সাইনাসে স্নায়ুতন্ত্র থাকে?",পেরিভিসেরাল,পেরিনিউরাল,পেরিকার্ডিয়াল,সবগুলো,,2,,1,1
"অস্থি কোন লবণ সঞ্চয় করে না?",Ca<sup>2+</sup>,P,Cl<sup>-</sup>,Mg<sup>++</sup>,,3,"অস্থিতে থাকা খনিজ লবণসমুহ হলো- ক্যালসিয়াম, ফসফরাস, ম্যাগনেসিয়াম।",1,1
"কোনটি রুদ্ধ হলে অটাইটিস মিডিয়া হতে পারে?","ইউস্টেশিয়ান টিউব","ইউস্টেশিয়ান কপাটিকা",ট্রাকিয়া,শ্বাসনালী,,1,,1,1
"NH₄Cl যৌগে কত প্রকারের বন্ধন আছে?",1,2,3,4,,3,"<br />
<br />
NH4Cl যৌগে তিন ধরনের বন্ধন বিদ্যমান<br />
<br />
•সমযোজী বন্ধন<br />
•সন্নিবেশ সমযোজী বন্ধন<br />
•আয়নিক বন্ধন",1,2
"নিচের কোনটি নিরপেক্ষ লিগ্যান্ড?",F⁻,H₂O,CH₄,Au,,2,,1,2
"কোন বিক্রিয়াটি ঘটবে না?",Sn(s)+2Ni²⁺(aq)—Sn²⁺(aq)+2Ni(s),Pb(s)+2Ag⁺(aq)—Pb²⁺(aq)+2Ag(s),2H⁺(aq)+Mg(s)—Mg²⁺(aq)+H₂(g),2Ag⁺(aq)+Ni(s)—Ni²⁺(aq)+2Ag(s),,1,"<br />
সক্রিয়তা সিরিজের উপরে অবস্থানকারী ধাতু সবল বিজারক এবং এদের আয়ন খুবই সুস্থিত ও দুর্বল জারক। সিরিজের নিচে অবস্থানকারী মৌলসমূহ দুর্বল বিজারক ও এদের আয়নসমূহ অপেক্ষাকৃত কমস্থায়ী হয় এবং এরা সহজেই বিজারিত হয়ে পুনরায় ধাতুতে পরিণত হয়। এরা শক্তিশালী জারক হিসেবে আচরণ করে।<br />
<br />
• নিকেল সিলভারকে, ম্যাগনেশিয়াম হাইড্রোজেনকে ও লেড সিলভারকে প্রতিস্থাপন করতে পারে। কিন্তু টিন নিকেলকে প্রতিস্থাপন করতে না পারায় ""A"" নং বিক্রিয়াটি ঘটবে না।",1,2
"কোন মিশ্রণটি বাফার দ্রবণ নয়?","Na<sub>2</sub>CO<sub>3</sub>+ NaHCO<sub>3</sub>","CHCOOH + CH<sub>3</sub>COONa",HCL+NaCl,NaH<sub>2</sub>PO<sub>4</sub>+Na<sub>2</sub>HPO<sub>4</sub>,,3,,1,2
"অক্সো-এসিডসমূহের শক্তির সঠিক ক্রম কোনটি?","HNO<sub>3</sub> >H2SO<sub>4</sub> > HClO4","HNO<sub>3</sub> >HClO >H<sub>2</sub>SO<sub>3</sub>","HClO<sub>4</sub> > HNO<sub>2</sub> > HNO<sub>3</sub>","H<sub>2</sub>SO<sub>4</sub> > H<sub>2</sub>SO<sub>3</sub> >HClO",,4,"অক্সো এসিডসমুহের কেন্দ্রীয় পরমাণুর ধণাত্মক জারণসংখ্যা যত বেশি ঐ এসিডের তীব্রতা তত বেশি হয়।",1,2
"একটি প্রথম ক্রম বিক্রিয়ার ঘনমাত্রা 60 সেকেন্ড 1.0 mol/L থেকে 0.5 mol/L এ নেমে আসে। বিক্রিয়াটির ঘনমাত্রা 2.0 mol/L থেকে 0.5 mol/L এ নেমে আসতে কত সেকেন্ড সময় লাগবে? ",180,120,30,25,,2,"প্রথম ক্রম বিক্রিয়ার half life = 60 sec.<br />
 2 mol/L থেকে 1 mol/L হতে লাগে 60 sec পরবর্তীতে 1 mol/L হতে 0.5 mol/L হতে লাগে আরো 60s মোট = (60+60) = 120 s সময় লাগে",1,2
"অ্যান্টিঅক্সিডেন্ট হিসেবে ব্যবহৃত হয়-","সোডিয়াম বেনজয়েট","পটাশিয়াম সরবেট","ইথাইল প্যারাবেন","প্রোপাইল গ্যালেট",,4,"অ্যান্টি-অক্সিডেন্ট: ১) বিউটাইলেটেড হাইড্রক্সি এনিসল, BHA; ২) বিউটাইলেটেড হাইড্রক্সি টলুইন, BHT; ৩) টারসিয়ারি বিউটাইল হাইড্রকুইনোন TBHQ; ৪) প্রোপাইল গ্যালেট।",1,2
"ব্রোমিন ইথিনের সাথে বিক্রিয়া করে। বিক্রিয়াটির কৌশল কী ধরনের? ","কেন্দ্রাকর্ষী যুত","কেন্দ্রাকর্ষী প্রতিস্থাপন","ইলেকট্রনাকর্ষী যুত","ইলেকট্রনাকর্ষী প্রতিস্থাপন",,3,,1,2
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250121102511.jpg"">","2×107.9 g","107.9/2 g","62.3 g","107.9 g",,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250121102514.jpg"">",1,2
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250121103316.jpg"">","1.78 F","1.26 F","2.26 F","1.98 F",,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250121103320.jpg"">",1,2
"নেসলার দ্রবণ দ্বারা কোন ক্যাটায়ন শনাক্ত করা যায়?",Al³⁺,NH₄⁺,Ca²⁺,Zn²⁺,,2,,1,2
"50 mL সম্পৃক্ত দ্রবণে 5g CaCl₂ দ্রবীভূত আছে। লিটার প্রতি CaCl₂ এর দ্রাব্যতা কত?",10g/L,100g/L,101g/L,1011g/L,,2,"<br />
(5/50)×1000=100",1,2
"H₂S অণুতে H—S—H বন্ধন কোণের মান কত?",180°,104.5°,92.1°,109.5°,,3,,1,2
"PCl₅(g)⇆PCl₃(g)+Cl₂(g);∆H=+90kj mol⁻¹; এই বিক্রিয়াটির সাম্যাবস্থায় তাপ কমালে ও চাপ বাড়ালে সাম্যাবস্থার কী পরিবর্তন হবে?","পশ্চাৎমুখী অগ্রসর হবে","সম্মুখে অগ্রসর হবে","অপরিবর্তিত থাকবে","Cl₂ এর উৎপাদন বৃদ্ধি পাবে",,1,"<br />
তাপহারী বিক্রিয়ায় তাপ কমালে বিক্রিয়া পশ্চাৎমুখী হয়। আর বিক্রিয়কে মোল সংখ্যা কম বলে চাপ বাড়ালে বিক্রিয়া পশ্চাৎমুখী হবে।",1,2
"আদর্শ পানির DO এর পরিসীমা কত?","0-3 mgL⁻¹","4-8 mgL⁻¹","9-12 mgL⁻¹","13-16 mgL⁻¹",,2,"WHO অনুমোদিত আদর্শ পানির DO এর মান 5 – 6 ppm হয়ে থাকে। সারফেস ওয়াটারে DO 5 mg/L বা তার বেশি এবং নদীর মোহনায় DO 6 mg/L এর উপরে থাকে।",1,2
"কোনটি অ্যালিসাইক্লিক যৌগ?",পিরিডিন,সাইক্লোবিউটেন,পাইরন,বেনজিন,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250111185747.jpg"">",1,2
"টলুইন ও H₂ এর মিশ্রণকে 200°C তাপমাত্রায় ও প্রভাবকের উপর দিয়ে চালনা করলে পাওয়া যায়-",গ্যামাক্সিন,ক্লোরাল,"হেক্সা-ডাইড্রো টলুইন",অ্যানিলিন,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250111190429.jpg"">",1,2
"কোনটি ইলেকট্রোফাইল?",PH<sub>3</sub>,H<sub>2</sub>O,AlCl<sub>3</sub>,NH<sub>3</sub>,,3,"যে সকল বিকারক ইলেকট্রন গ্রহণে সক্ষম তারা ইলেকট্রোফাইল হিসেবে কাজ করে।",1,2
"যে প্রশমন বিক্রিয়াটিতে আরহেনিয়াসের সূত্র অনুসৃত হয়েছে তা হল-",NH₃(g)+HCl(g)<b>—</b>NH₄Cl(g),CaO(s)+CO₂(g)<b>—</b>CaCO₃(g),NH₄OH(aq)+HCl(aq)<b>—</b>NH₄Cl(aq)+H₂O(l),FeO(s)+HCl(aq)<b>—</b>FeCl₂(aq)+H₂O(l),,3,,1,2
"অ্যামিনসমূহের ক্ষারধর্মীতার ক্রম কোনটি সঠিক?","R₂NH > R₃N > NH₃ > RNH₂","NH₃ > R₃N > R₂NH > RNH₂","R₂NH > RNH₂ > R₃N > NH₃","R₃N > R₂NH > RNH₂ > NH₃",,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250111165606.jpg"">",1,2
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250111162707.jpg"">","con H<sub>2</sub>SO<sub>4</sub>",O<sub>3</sub>,Al<sub>2</sub>O<sub>3</sub>,CCl<sub>4</sub>,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250111162711.jpg"">",1,2
"কোনটি প্রোপিন 2-অল?",CH<sub>3</sub>COH=CH<sub>2</sub>,CH<sub>3</sub>COCH<sub>3</sub>,CH<sub>3</sub>CHOCH<sub>3</sub>,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>OH,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250111155604.jpg"">",1,2
"কোনটি সর্বাধিক তড়িৎ ঋনাত্মকতা নির্দেশ করে?","1s² 2s² 2p⁵","1s² 2s² 2p⁶ 3s¹","1s² 2s² 2p⁴","1s² 2s² 2p⁶ 3s² 2p⁵",,1,"1s² 2s² 2p⁵ সর্বাধিক তড়িৎ ঋণাত্মক মৌল F এর ইলেকট্রন কনফিগারেশন নির্দেশ করে।",1,2
"গাঁজন পদ্ধতিতে ইথানল উৎপাদনে কোনটি ব্যবহৃত হয়?","শ্বেতসার ","চিটাগুড় ","সেলুলোজ ",জাইমেজ,,4,,1,2
"Fill in the blank with suitable preposition : A large number of colleges affiliated_____the <b>Titumir University.</b>",to,with,in,on,,2,,1,3
"What is the synonym of 'Buoyant'?",Bandit,Banish,Belated,Floating,,4,,1,3
"The English ___ English.",speaks,"is spoken",spoken,speak,,4,"ইংরেজ জাতিরা ইংরেজি ভাষায় কথা বলে। এটার ইংরেজি The English Speak English. জাতি বোঝাতে তার আগে the বসে এবং verb plural form এ হবে।",1,3
"What is the passive form of the sentence 'Choose the correct answer'?","Let us choose the correct answer","Let the correct answer be chosen","Correct answer should be chosen","Choose the answer which one is correct",,2,,1,3
"‘কুশল’ একটি______শব্দ।",যোগরূঢ়,যৌগিক,রূঢ়,"কোনোটি নয়",,3,"প্রত্যয়, উপসর্গ বা সন্ধি সাধিত যেসকল শব্দের ব্যুৎপত্তিগত ও ব্যাবহারিক অর্থের মিল থাকে না তাকে রূঢ় বা রূঢ়ি শব্দ বলে। যেমন-প্রবীণ, তৈল, হস্তী, বাঁশি, সন্দেশ, গবেষণা।",1,3
"‘নেই আঁকড়া’ বাগধারাটি দিয়ে বোঝায় -","নিতান্ত দরিদ্র",মূর্খ,"একগুঁয়ে স্বভাবের",অপব্যয়ী,,3,"এটি একটি বাগধারা,এর অর্থ একগুঁয়ে স্বভাবের।",1,3
"“আশা করি আমাকে দেখিয়া তিনি খুশি হইয়াছিলেন। বোঝা শক্ত, কেননা তিনি বড় চুপচাপ”।—উক্তিটি কোন গল্প থেকে নেয়া?",মাসি-পিসি,"আমার পথ",অপরিচিতা,বিলাসী,,3,,1,3
"নিচের কোনটি মহাকাব্য নয়?",রামায়ণ,মহাভারত,শ্রীকৃষ্ণকীর্তন,ইলিয়াড,,3,,1,3
" <b>প্রশ্নবোধক স্থানে কোন সংখ্যাটি বসবে?</b><br />
<br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250204213012.jpg"">",3,7,9,11,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250204213020.jpg"">",1,4
"রসি, মনি, রনি ও জনি সারিবদ্ধভাবে বসলো। রসি,মনির ডানে, রনি মনির বামে কিন্তু জনির ডানে বসল। যদি রসি রনির বামে বসে থাকে তাহলে সর্বশেষ বামে কে বসেছে?",মনি,জনি,রসি,রনি,,2,"<br />
জনি > রনি < মনির > রসি.<br />
<br />
মনির ডানে রসি, মনির বামে রনি এবং রনি জনির ডানে। অর্থাৎ সর্ব বামে জনি। যদি রসি মনির বামে বসে তবুও জনি সর্বশেষ বামেই অবস্থান করবে।",1,4
"A হয় B এর চাচা, C হয় A এর পুত্র, D হয় A এর কন্যা। D এবং B এর মধ্যে সম্পর্ক কি?","মামাতো ভাই","ফুফাতো ভাই","চাচাতো ভাই","খালাতো ভাই",,3,,1,4
"একটি দেয়াল ঘড়িতে যখন তিনটা বাজে তখন ঘন্টার কাটা যদি পূর্বদিকে থাকে তবে মিনিটের কাঁটা কোনদিকে থাকবে?",পূর্ব,উত্তর,দক্ষিণ,পশ্চিম,,2,,1,4
